Đội có chỉ số cao nhất ở mỗi chỉ số:
Chỉ số: Median of npxG/90, Đội: Newcastle Utd, Giá trị lớn nhất: 0.13
Chỉ số: Mean of npxG/90, Đội: Everton, Giá trị lớn nhất: 0.198695652173913
Chỉ số: Std of npxG/90, Đội: Bournemouth, Giá trị lớn nhất: 0.3013834766539134
Chỉ số: Median of npxG + xAG/90, Đội: Newcastle Utd, Giá trị lớn nhất: 0.295
Chỉ số: Mean of npxG + xAG/90, Đội: Tottenham, Giá trị lớn nhất: 0.3270833333333333
Chỉ số: Std of npxG + xAG/90, Đội: Bournemouth, Giá trị lớn nhất: 0.371246756007583
Chỉ số: Median of GA, Đội: Luton Town, Giá trị lớn nhất: 85.0
Chỉ số: Mean of GA, Đội: Luton Town, Giá trị lớn nhất: 85.0
Chỉ số: Std of GA, Đội: Brentford, Giá trị lớn nhất: 43.1335136523794
Chỉ số: Median of GA90, Đội: Sheffield Utd, Giá trị lớn nhất: 2.8
Chỉ số: Mean of GA90, Đội: Sheffield Utd, Giá trị lớn nhất: 2.8
Chỉ số: Std of GA90, Đội: Bournemouth, Giá trị lớn nhất: 1.1868585987106186
Chỉ số: Median of SoTA, Đội: Luton Town, Giá trị lớn nhất: 221.0
Chỉ số: Mean of SoTA, Đội: Luton Town, Giá trị lớn nhất: 221.0
Chỉ số: Std of SoTA, Đội: Wolves, Giá trị lớn nhất: 122.32947314527271
Chỉ số: Median of Saves, Đội: Manchester Utd, Giá trị lớn nhất: 146.0
Chỉ số: Mean of Saves, Đội: Manchester Utd, Giá trị lớn nhất: 146.0
Chỉ số: Std of Saves, Đội: Wolves, Giá trị lớn nhất: 86.97413408594535
Chỉ số: Median of Save%-Performance, Đội: Manchester Utd, Giá trị lớn nhất: 74.9
Chỉ số: Mean of Save%-Performance, Đội: Manchester Utd, Giá trị lớn nhất: 74.9
Chỉ số: Std of Save%-Performance, Đội: Bournemouth, Giá trị lớn nhất: 21.941057403871856
Chỉ số: Median of W, Đội: Tottenham, Giá trị lớn nhất: 20.0
Chỉ số: Mean of W, Đội: Tottenham, Giá trị lớn nhất: 20.0
Chỉ số: Std of W, Đội: Manchester City, Giá trị lớn nhất: 14.142135623730953
Chỉ số: Median of D, Đội: Everton, Giá trị lớn nhất: 9.0
Chỉ số: Mean of D, Đội: Everton, Giá trị lớn nhất: 9.0
Chỉ số: Std of D, Đội: Brentford, Giá trị lớn nhất: 6.363961030678928
Chỉ số: Median of L, Đội: Luton Town, Giá trị lớn nhất: 24.0
Chỉ số: Mean of L, Đội: Luton Town, Giá trị lớn nhất: 24.0
Chỉ số: Std of L, Đội: Brentford, Giá trị lớn nhất: 12.020815280171307
Chỉ số: Median of CS, Đội: Everton, Giá trị lớn nhất: 13.0
Chỉ số: Mean of CS, Đội: Everton, Giá trị lớn nhất: 13.0
Chỉ số: Std of CS, Đội: Arsenal, Giá trị lớn nhất: 9.899494936611664
Chỉ số: Median of CS%, Đội: Manchester City, Giá trị lớn nhất: 45.15
Chỉ số: Mean of CS%, Đội: Manchester City, Giá trị lớn nhất: 45.15
Chỉ số: Std of CS%, Đội: Bournemouth, Giá trị lớn nhất: 25.063984785610877
Chỉ số: Median of PKatt-PK, Đội: Fulham, Giá trị lớn nhất: 8.0
Chỉ số: Mean of PKatt-PK, Đội: Fulham, Giá trị lớn nhất: 8.0
Chỉ số: Std of PKatt-PK, Đội: Wolves, Giá trị lớn nhất: 5.656854249492381
Chỉ số: Median of PKA, Đội: Fulham, Giá trị lớn nhất: 8.0
Chỉ số: Mean of PKA, Đội: Fulham, Giá trị lớn nhất: 8.0
Chỉ số: Std of PKA, Đội: Wolves, Giá trị lớn nhất: 5.656854249492381
Chỉ số: Median of PKsv, Đội: West Ham, Giá trị lớn nhất: 1.0
Chỉ số: Mean of PKsv, Đội: West Ham, Giá trị lớn nhất: 1.0
Chỉ số: Std of PKsv, Đội: West Ham, Giá trị lớn nhất: 1.4142135623730951
Chỉ số: Median of PKm, Đội: Sheffield Utd, Giá trị lớn nhất: 1.0
Chỉ số: Mean of PKm, Đội: Sheffield Utd, Giá trị lớn nhất: 1.0
Chỉ số: Std of PKm, Đội: Chelsea, Giá trị lớn nhất: 0.7071067811865476
Chỉ số: Median of Save%/PK, Đội: Aston Villa, Giá trị lớn nhất: 50.0
Chỉ số: Mean of Save%/PK, Đội: Aston Villa, Giá trị lớn nhất: 50.0
Chỉ số: Std of Save%/PK, Đội: Aston Villa, Giá trị lớn nhất: 70.71067811865476
Chỉ số: Median of Gls, Đội: Arsenal, Giá trị lớn nhất: 2.0
Chỉ số: Mean of Gls, Đội: Manchester City, Giá trị lớn nhất: 4.476190476190476
Chỉ số: Std of Gls, Đội: Manchester City, Giá trị lớn nhất: 6.910998825199203
Chỉ số: Median of Sh, Đội: Liverpool, Giá trị lớn nhất: 21.0
Chỉ số: Mean of Sh, Đội: Liverpool, Giá trị lớn nhất: 35.40909090909091
Chỉ số: Std of Sh, Đội: Manchester City, Giá trị lớn nhất: 34.904836613965394
Chỉ số: Median of SoT, Đội: Liverpool, Giá trị lớn nhất: 7.0
Chỉ số: Mean of SoT, Đội: Manchester City, Giá trị lớn nhất: 12.523809523809524
Chỉ số: Std of SoT, Đội: Manchester City, Giá trị lớn nhất: 15.194140474600882
Chỉ số: Median of SoT%, Đội: Manchester City, Giá trị lớn nhất: 38.5
Chỉ số: Mean of SoT%, Đội: Fulham, Giá trị lớn nhất: 37.645
Chỉ số: Std of SoT%, Đội: Sheffield Utd, Giá trị lớn nhất: 25.31377125962497
Chỉ số: Median of Sh/90, Đội: Tottenham, Giá trị lớn nhất: 1.5550000000000002
Chỉ số: Mean of Sh/90, Đội: Liverpool, Giá trị lớn nhất: 1.728181818181818
Chỉ số: Std of Sh/90, Đội: Bournemouth, Giá trị lớn nhất: 1.7293035058614248
Chỉ số: Median of SoT/90, Đội: Fulham, Giá trị lớn nhất: 0.47
Chỉ số: Mean of SoT/90, Đội: Everton, Giá trị lớn nhất: 0.6313043478260869
Chỉ số: Std of SoT/90, Đội: Everton, Giá trị lớn nhất: 0.7157342342456076
Chỉ số: Median of G/Sh, Đội: Newcastle Utd, Giá trị lớn nhất: 0.13
Chỉ số: Mean of G/Sh, Đội: Fulham, Giá trị lớn nhất: 0.1535
Chỉ số: Std of G/Sh, Đội: Fulham, Giá trị lớn nhất: 0.2123124559402213
Chỉ số: Median of G/SoT, Đội: Brentford, Giá trị lớn nhất: 0.43
Chỉ số: Mean of G/SoT, Đội: Newcastle Utd, Giá trị lớn nhất: 0.4176190476190476
Chỉ số: Std of G/SoT, Đội: Nott'ham Forest, Giá trị lớn nhất: 0.345457743626596
Chỉ số: Median of Dist, Đội: Crystal Palace, Giá trị lớn nhất: 18.2
Chỉ số: Mean of Dist, Đội: Burnley, Giá trị lớn nhất: 17.6125
Chỉ số: Std of Dist, Đội: Manchester Utd, Giá trị lớn nhất: 5.694165240538886
Chỉ số: Median of FK-Shooting, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of FK-Shooting, Đội: Manchester City, Giá trị lớn nhất: 1.1904761904761905
Chỉ số: Std of FK-Shooting, Đội: West Ham, Giá trị lớn nhất: 3.40771978198826
Chỉ số: Median of PK, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of PK, Đội: Arsenal, Giá trị lớn nhất: 0.4761904761904761
Chỉ số: Std of PK, Đội: Chelsea, Giá trị lớn nhất: 1.8046236911518885
Chỉ số: Median of PKatt-Standard, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of PKatt-Standard, Đội: Chelsea, Giá trị lớn nhất: 0.48
Chỉ số: Std of PKatt-Standard, Đội: Chelsea, Giá trị lớn nhất: 1.8284784202536637
Chỉ số: Median of xG-Shooting, Đội: Liverpool, Giá trị lớn nhất: 2.3
Chỉ số: Mean of xG-Shooting, Đội: Liverpool, Giá trị lớn nhất: 4.1000000000000005
Chỉ số: Std of xG-Shooting, Đội: Manchester City, Giá trị lớn nhất: 6.645560637784911
Chỉ số: Median of npxG-Shooting, Đội: Liverpool, Giá trị lớn nhất: 2.15
Chỉ số: Mean of npxG-Shooting, Đội: Liverpool, Giá trị lớn nhất: 3.7545454545454544
Chỉ số: Std of npxG-Shooting, Đội: Manchester City, Giá trị lớn nhất: 5.367299578177536
Chỉ số: Median of npxG/Sh, Đội: Aston Villa, Giá trị lớn nhất: 0.12
Chỉ số: Mean of npxG/Sh, Đội: Fulham, Giá trị lớn nhất: 0.142
Chỉ số: Std of npxG/Sh, Đội: Fulham, Giá trị lớn nhất: 0.1981387073956551
Chỉ số: Median of G-xG, Đội: Newcastle Utd, Giá trị lớn nhất: 0.25
Chỉ số: Mean of G-xG, Đội: Manchester City, Giá trị lớn nhất: 0.5809523809523809
Chỉ số: Std of G-xG, Đội: Manchester City, Giá trị lớn nhất: 2.319616142300068
Chỉ số: Median of np:xG-xG, Đội: Newcastle Utd, Giá trị lớn nhất: 0.25
Chỉ số: Mean of np:xG-xG, Đội: Manchester City, Giá trị lớn nhất: 0.5238095238095237
Chỉ số: Std of np:xG-xG, Đội: Manchester City, Giá trị lớn nhất: 2.395392402489572
Chỉ số: Median of Cmp/Short, Đội: Manchester City, Giá trị lớn nhất: 452.0
Chỉ số: Mean of Cmp/Short, Đội: Manchester City, Giá trị lớn nhất: 612.3809523809524
Chỉ số: Std of Cmp/Short, Đội: Manchester City, Giá trị lớn nhất: 436.5011427465541
Chỉ số: Median of Att/Short, Đội: Manchester City, Giá trị lớn nhất: 507.0
Chỉ số: Mean of Att/Short, Đội: Manchester City, Giá trị lớn nhất: 651.6190476190476
Chỉ số: Std of Att/Short, Đội: Manchester City, Giá trị lớn nhất: 458.29635348652687
Chỉ số: Median of Cmp%/Short, Đội: Manchester City, Giá trị lớn nhất: 94.4
Chỉ số: Mean of Cmp%/Short, Đội: Manchester City, Giá trị lớn nhất: 93.7714285714286
Chỉ số: Std of Cmp%/Short, Đội: Everton, Giá trị lớn nhất: 9.135129604191476
Chỉ số: Median of Cmp/Medium, Đội: Fulham, Giá trị lớn nhất: 325.0
Chỉ số: Mean of Cmp/Medium, Đội: Manchester City, Giá trị lớn nhất: 448.8095238095238
Chỉ số: Std of Cmp/Medium, Đội: Manchester City, Giá trị lớn nhất: 386.8632341083369
Chỉ số: Median of Att/Medium, Đội: Fulham, Giá trị lớn nhất: 403.0
Chỉ số: Mean of Att/Medium, Đội: Manchester City, Giá trị lớn nhất: 489.4761904761905
Chỉ số: Std of Att/Medium, Đội: Manchester City, Giá trị lớn nhất: 406.5543775496236
