Kết quả phân cụm với tên:
                 Player  Cluster Cluster_Name
          Pablo Fornals        1      Tiền vệ
            Lyle Foster        1      Tiền vệ
         Matheus França        1      Tiền vệ
          Nathan Fraser        1      Tiền vệ
             Cody Gakpo        0     Tiền đạo
        Conor Gallagher        2       Hậu vệ
     Alejandro Garnacho        0     Tiền đạo
           James Garner        2       Hậu vệ
          Saman Ghoddos        1      Tiền vệ
     Morgan Gibbs-White        0     Tiền đạo
              Bryan Gil        1      Tiền vệ
        Alfie Gilchrist        1      Tiền vệ
        Ryan John Giles        1      Tiền vệ
          Billy Gilmour        2       Hậu vệ
            Ben Godfrey        1      Tiền vệ
            André Gomes        1      Tiền vệ
             João Gomes        2       Hậu vệ
             Toti Gomes        2       Hậu vệ
              Joe Gomez        2       Hậu vệ
         Anthony Gordon        0     Tiền đạo
       Ryan Gravenberch        1      Tiền vệ
              Ivo Grbić        1      Tiền vệ
          Jack Grealish        1      Tiền vệ
            Pascal Groß        0     Tiền đạo
     Idrissa Gana Gueye        2       Hậu vệ
        Bruno Guimarães        0     Tiền đạo
             Malo Gusto        2       Hậu vệ
             Marc Guéhi        2       Hậu vệ
Jóhann Berg Guðmundsson        1      Tiền vệ
         Joško Gvardiol        2       Hậu vệ
         Erling Haaland        0     Tiền đạo
             Lewis Hall        1      Tiền vệ
          Gustavo Hamer        0     Tiền đạo
          Jack Harrison        0     Tiền đạo
         Daiki Hashioka        1      Tiền vệ
            Kai Havertz        0     Tiền đạo
     Jan Paul van Hecke        2       Hậu vệ
         Hwang Hee-chan        0     Tiền đạo
         Dean Henderson        1      Tiền vệ
             Rico Henry        1      Tiền vệ
          Son Heung-min        0     Tiền đạo
           Aaron Hickey        1      Tiền vệ
       Jack Hinshelwood        1      Tiền vệ
          Mason Holgate        1      Tiền vệ
     Callum Hudson-Odoi        0     Tiền đạo
            Will Hughes        2       Hậu vệ
        Pierre Højbjerg        2       Hậu vệ
         Rasmus Højlund        0     Tiền đạo
                   Igor        2       Hậu vệ
             Danny Ings        1      Tiền vệ
         Tim Iroegbunam        1      Tiền vệ
         Alexander Isak        0     Tiền đạo
             Alex Iwobi        1      Tiền vệ
             Alex Iwobi        0     Tiền đạo
        Nicolas Jackson        0     Tiền đạo
            Reece James        1      Tiền vệ
          Vitaly Janelt        2       Hậu vệ
         Mathias Jensen        2       Hậu vệ
          Gabriel Jesus        0     Tiền đạo
